Sample_ID,Study Accession,Sample Accession,Experiment Accession,Description,Center Name,Study,Sample,Plant_part
SRR8816480,PRJNA529760,SAMN11284894,SRX5604937,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,8MAP,Fruit
SRR8816481,PRJNA529760,SAMN11284893,SRX5604936,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,6MAP,Fruit
SRR8816482,PRJNA529760,SAMN11284896,SRX5604935,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,8MAP,Fruit
SRR8816483,PRJNA529760,SAMN11284895,SRX5604934,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,8MAP,Fruit
SRR8816484,PRJNA529760,SAMN11284877,SRX5604933,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR8816485,PRJNA529760,SAMN11284878,SRX5604932,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR8816486,PRJNA529760,SAMN11284879,SRX5604931,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,root,Root
SRR8816487,PRJNA529760,SAMN11284880,SRX5604930,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,root,Root
SRR8816488,PRJNA529760,SAMN11284873,SRX5604929,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,flower,Flower
SRR8816489,PRJNA529760,SAMN11284874,SRX5604928,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,flower,Flower
SRR8816490,PRJNA529760,SAMN11284875,SRX5604927,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,flower,Flower
SRR8816491,PRJNA529760,SAMN11284876,SRX5604926,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,leaf,Leaf
SRR8816492,PRJNA529760,SAMN11284881,SRX5604925,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,root,Root
SRR8816493,PRJNA529760,SAMN11284882,SRX5604924,Illumina HiSeq 2000 paired end sequencing; Piperine Biosythesis in Black Pepper,Leibniz Instiute of Plant Biochemistry,Piperine Biosythesis in Black Pepper,stem,Stem
